Anime_id,Title,Genres,Type,Episodes,Score,Rank,Members,Popularity,Season,Studio
1,Cowboy Bebop,"Action,Award Winning,Sci-Fi",TV,26,8.75,#40,"1,761,160",#43,Spring 1998,Sunrise
5,Cowboy Bebop: Tengoku no Tobira,"Action,Sci-Fi",Movie,1,8.38,#192,"359,135",#601,,Bones
6,Trigun,"Action,Adventure,Sci-Fi",TV,26,8.22,#317,"722,661",#246,Spring 1998,Madhouse
7,Witch Hunter Robin,"Action,Drama,Mystery,Supernatural",TV,26,7.25,#2789,"111,497",#1789,Summer 2002,Sunrise
8,Bouken Ou Beet,"Adventure,Fantasy,Supernatural",TV,52,6.94,#4236,"14,937",#5105,Fall 2004,Toei Animation
15,Eyeshield 21,Sports,TV,145,7.92,#690,"177,055",#1243,Spring 2005,Gallop
16,Hachimitsu to Clover,"Comedy,Drama,Romance",TV,24,8.00,#587,"259,109",#858,Spring 2005,J.C.Staff
17,Hungry Heart: Wild Striker,"Comedy,Slice of Life,Sports",TV,52,7.55,#1558,"24,083",#4205,Fall 2002,Nippon Animation
18,Initial D Fourth Stage,"Action,Drama",TV,24,8.16,#391,"172,212",#1277,Spring 2004,A.C.G.T.
19,Monster,"Drama,Mystery,Suspense",TV,74,8.87,#27,"999,647",#144,Spring 2004,Madhouse
20,Naruto,"Action,Adventure,Fantasy",TV,220,7.98,#614,"2,702,446",#8,Fall 2002,Pierrot
21,One Piece,"Action,Adventure,Fantasy",TV,Unknown,8.69,#55,"2,151,279",#20,Fall 1999,Toei Animation
22,Tennis no Ouji-sama,Sports,TV,178,7.86,#795,"177,443",#1239,Fall 2001,Trans Arts
23,Ring ni Kakero 1,"Action,Sports",TV,12,6.39,#6946,"4,546",#8277,Fall 2004,Toei Animation
24,School Rumble,"Comedy,Romance",TV,26,7.89,#763,"319,283",#682,Fall 2004,Studio Comet
25,Sunabouzu,"Action,Adventure,Comedy,Sci-Fi,Ecchi",TV,24,7.38,#2162,"134,253",#1540,Fall 2004,Gonzo
26,Texhnolyze,"Action,Drama,Sci-Fi",TV,22,7.77,#973,"237,881",#934,Spring 2003,Madhouse
27,Trinity Blood,"Action,Supernatural",TV,24,7.29,#2561,"179,060",#1225,Spring 2005,Gonzo
28,Yakitate!! Japan,"Comedy,Gourmet",TV,69,7.91,#719,"95,065",#1988,Fall 2004,Sunrise
29,Zipang,"Action,Drama,Sci-Fi",TV,26,7.48,#1762,"21,267",#4421,Fall 2004,Studio Deen
30,Neon Genesis Evangelion,"Action,Avant Garde,Award Winning,Drama,Sci-Fi,Suspense",TV,26,8.35,#209,"1,706,886",#45,Fall 1995,Gainax
31,Neon Genesis Evangelion: Death & Rebirth,"Drama,Sci-Fi",Movie,1,7.46,#1824,"250,155",#888,,Gainax
